sex,date_ref,q0_1,q0_5
f,1990.5,36.78,48.34
f,1991.5,35.15,45.84
f,1992.5,33.53,43.46
f,1993.5,31.86,40.96
f,1994.5,30.18,39.40
f,1995.5,28.56,37.73
f,1996.5,27.30,36.09
f,1997.5,26.13,34.62
f,1998.5,25.02,33.13
f,1999.5,23.94,31.72
f,2000.5,22.91,30.43
f,2001.5,21.94,29.21
f,2002.5,21.01,28.01
f,2003.5,20.13,26.89
f,2004.5,19.28,25.80
f,2005.5,18.48,24.78
f,2006.5,17.73,23.83
f,2007.5,17.01,22.91
f,2008.5,16.32,22.02
f,2009.5,15.68,21.18
f,2010.5,15.06,20.37
f,2011.5,14.46,19.60
f,2012.5,13.91,18.88
f,2013.5,13.40,18.20
f,2014.5,12.89,17.54
f,2015.5,12.42,16.93
f,2016.5,11.96,16.31
f,2017.5,11.53,15.75
f,2018.5,11.11,15.18
f,2019.5,10.70,14.64
f,2020.5,10.33,14.16
f,2021.5,9.98,13.67
f,2022.5,9.64,13.22
f,2023.5,9.32,12.79
f,2024.5,9.01,12.38
f,2025.5,8.73,11.99
f,2026.5,8.46,11.62
f,2027.5,8.20,11.26
f,2028.5,7.95,10.93
f,2029.5,7.72,10.61
f,2030.5,7.50,10.31
f,2031.5,7.29,10.02
f,2032.5,7.10,9.74
f,2033.5,6.91,9.48
f,2034.5,6.74,9.24
f,2035.5,6.57,9.00
f,2036.5,6.41,8.78
f,2037.5,6.26,8.56
f,2038.5,6.12,8.36
f,2039.5,5.99,8.17
f,2040.5,5.86,7.99
f,2041.5,5.74,7.82
f,2042.5,5.63,7.65
f,2043.5,5.52,7.50
f,2044.5,5.42,7.35
f,2045.5,5.32,7.21
f,2046.5,5.23,7.08
f,2047.5,5.15,6.95
f,2048.5,5.07,6.83
f,2049.5,4.99,6.72
f,2050.5,4.92,6.61
m,1990.5,47.55,59.52
m,1991.5,45.55,56.71
m,1992.5,43.53,53.87
m,1993.5,41.47,51.04
m,1994.5,39.39,49.42
m,1995.5,37.33,47.50
m,1996.5,35.76,45.69
m,1997.5,34.22,43.86
m,1998.5,32.75,42.17
m,1999.5,31.34,40.54
m,2000.5,30.01,38.91
m,2001.5,28.72,37.34
m,2002.5,27.50,35.87
m,2003.5,26.32,34.43
m,2004.5,25.20,33.06
m,2005.5,24.14,31.75
m,2006.5,23.11,30.45
m,2007.5,22.13,29.24
m,2008.5,21.21,28.08
m,2009.5,20.32,26.97
m,2010.5,19.48,25.92
m,2011.5,18.69,24.92
m,2012.5,17.92,23.94
m,2013.5,17.18,23.01
m,2014.5,16.50,22.13
m,2015.5,15.84,21.28
m,2016.5,15.22,20.49
m,2017.5,14.63,19.72
m,2018.5,14.09,19.02
m,2019.5,13.58,18.35
m,2020.5,13.08,17.69
m,2021.5,12.61,17.07
m,2022.5,12.17,16.49
m,2023.5,11.75,15.93
m,2024.5,11.35,15.39
m,2025.5,10.97,14.89
m,2026.5,10.61,14.40
m,2027.5,10.27,13.95
m,2028.5,9.95,13.51
m,2029.5,9.64,13.10
m,2030.5,9.35,12.70
m,2031.5,9.08,12.33
m,2032.5,8.82,11.98
m,2033.5,8.57,11.64
m,2034.5,8.34,11.32
m,2035.5,8.12,11.02
m,2036.5,7.91,10.73
m,2037.5,7.72,10.45
m,2038.5,7.53,10.19
m,2039.5,7.36,9.94
m,2040.5,7.19,9.71
m,2041.5,7.03,9.49
m,2042.5,6.88,9.28
m,2043.5,6.74,9.07
m,2044.5,6.61,8.88
m,2045.5,6.48,8.70
m,2046.5,6.36,8.53
m,2047.5,6.25,8.37
m,2048.5,6.14,8.21
m,2049.5,6.04,8.07
m,2050.5,5.94,7.93
